utterance_id,transcription,emotion
Ses01M_impro06_F016,Mmhmm.,neutral
Ses05F_impro05_F002,It was Virgin Atlantic coming from London.,neutral
Ses05F_impro06_M012,Was he very close to his family?,neutral
Ses02F_impro04_M009,"But you gotta.  Otherwise, what is--what's your other option?",neutral
Ses01F_impro04_M024,I didn't say that.,neutral
Ses05M_impro05_M004,"I was coming from um the Midwest, like Iowa.",neutral
Ses02M_impro08_M018,Okay.,neutral
Ses05F_script03_2_F011,"Well, it seems silly to go on and on in such a thing.",neutral
Ses01M_impro04_F021,You have an excuse for everything.,neutral
Ses03M_impro08b_M009,you might have an older phone where we would use sim cards but probably not.,neutral
Ses01M_script02_2_M021,So I'm putting the animals out we're getting the car to the garage and--,neutral
Ses02M_script03_2_M018,"As a matter of fact, that's perfectly true.",neutral
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neutral
Ses01F_impro06_F004,Thank you.,neutral
Ses03F_script02_2_M043,Shh.,neutral
Ses01F_impro06_M010,Oh really?,neutral
Ses05F_impro04_M041,"Okay.  Okay, I'll call some people.",neutral
Ses02F_impro06_M014,"I know.  It doesn't bring him back, but--",neutral
Ses02M_script03_2_F006,"It gave him a lot of pleasure, it didn't hurt me any.",neutral
Ses03F_impro08_F010,"Sir, I'm very sorry, but this is the way it is.  This- We have no control over it.  It's going to take-  -but you have to be patient with us.  You can use a calling card.  We will give you a free calling card to use.",neutral
Ses05M_impro08_F018,"Uh huh, Okay.",neutral
Ses01F_impro03_M006,He turned to you and was like...,neutral
Ses04F_impro07_M066,Fine.  It's dorky.,neutral
Ses05M_impro03_F030,Oooh,neutral
Ses02F_impro06_M006,It's okay.,neutral
Ses03F_impro07_F031,That's going to--that'll be reserved for somebody else.,neutral
Ses02M_impro04_F010,"That's- I mean. There are more factors then just whether you're good or not, you know what I mean like",neutral
Ses03M_impro05b_M019,I work for IBM.,neutral
Ses05M_impro05_M005,"Yeah, I know I was in the country.  I mean, it's not that complicated.",neutral
Ses05M_impro05_F020,Yeah.  Let me just call security.,neutral
Ses01F_impro01_F002,Is there a problem?,neutral
Ses03M_script01_2_M008,How do you know why she's waited?  Hmmm?,neutral
Ses02F_script02_1_M017,Do you want my jacket?,neutral
Ses03F_script01_1_M042,I'll get out. I'll marry her somewhere else. Maybe New York.,neutral
Ses03F_impro07_M021,I got into film school at the Art Academy.,neutral
Ses05M_impro05_M010,"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything.",neutral
Ses03M_impro08a_M005,So what exactly is the problem?,neutral
Ses03M_impro02_M015,"You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright?",neutral
Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay.",neutral
Ses02M_impro08_F006,"Sorry. Okay. Um-, yes",neutral
Ses02F_script02_1_M031,"I don't get it.  The first time we came here, you said it was the best night of your life.",neutral
Ses02M_script03_2_M024,"Tell me, did you see much of Peter Burden after our divorce?",neutral
Ses01M_impro06_F022,MMhmm.,neutral
Ses04M_impro05_F019,I understand that.  I would know if it was mine. Um-,neutral
Ses01F_script02_1_M021,"Wait, that's my point, too.",neutral
Ses03M_impro05b_F003,Okay.  Let's look up here,neutral
Ses01M_impro05_F018,--arriving any time soon.,neutral
Ses05F_script02_1_F007,"It's after eleven, let's go home.",neutral
Ses03M_script03_2_M009,You want some brandy?,neutral
Ses03M_impro08a_M024,All right um--,neutral
Ses05M_impro07_F017,Good tradeoff,neutral
Ses05M_impro04_F006,"No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --",neutral
Ses01M_script01_1_M037,"Yes, on this I would.",neutral
Ses05F_impro05_F007,"Well, I can't leave without it. I mean, Could you find out?",neutral
Ses05M_script03_2_F026,You always had a weak head.,neutral
Ses05M_script01_1_F026,"Well, the trouble is you never saw enough women.",neutral
Ses05F_impro08_F001,Okay.,neutral
Ses04M_script01_1_M031,"Alright, then, mom.  Did we skip something?  No.  Alright, then, mom.",neutral
Ses02F_impro08_F019,"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neutral
Ses05F_impro08_F020,"You do the direct the direct it um- it's taking right out of your bank account, correct?",neutral
Ses03F_impro08_F014,"And we will probably send you a calling card.  I'm very sorry.  You're just going to have to be patient, sir.",neutral
Ses04F_script03_1_M030,How long did that row last?,neutral
Ses02M_impro05_M001,It seems that uh- my-my bag didn't make it out on the carousel.,neutral
Ses05F_impro04_M020,"It's the way it seems to me.  You started complaining about not being able to find a job the first day you went out and didn't find a job.  And I'm not saying like and not trying to you know put you down or anything, it's just that-",neutral
Ses02F_impro05_M006,"Right.  Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do.",neutral
Ses04M_script02_1_M005,Whose is it?,neutral
Ses01M_impro06_F019,"It leaves a hole for you too, in your plans together.",neutral
Ses01F_script01_3_F008,"Well sure, from your mother's point of view.  Why else would I come?",neutral
Ses01M_impro05_F032,That's not - no.,neutral
Ses01M_impro04_F009,"But I mean you kind of got to, you got to fake it 'til you feel it, right?",neutral
Ses04F_impro06_M006,"you know, you don't- you know, how long do you want the person to go through that, you know.",neutral
Ses01F_impro05_M014,"No, no.",neutral
Ses05M_script01_3_F006,"I figured they would, your mother at least.",neutral
Ses05M_script03_2_F009,No thanks.,neutral
Ses01M_impro04_F017,"Like this, right now we're trying have a conversation.",neutral
Ses02F_impro06_M009,"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than...",neutral
Ses04M_impro04_F006,"Well then you're choosing to be unemployed, really.",neutral
Ses04M_impro05_F037,I know. I understand it's personal-- It's personal to you. I get that.,neutral
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neutral
Ses03M_impro05a_F008,How many pieces of luggage do you have checked in?,neutral
Ses04F_impro07_M031,"Oh, that's right. Okay, I see. Right, right, right.",neutral
Ses04M_script03_2_M001,I didn't hit you very hard.,neutral
Ses01F_impro05_M020,I know.,neutral
Ses03M_script01_1_F028,Did you ask Annie yet?,neutral
Ses05M_impro08_F011,"Well, I- I can check that.  Is there anything else we can do, too?  Like, I'll go through and check the line throughout the house, but --",neutral
Ses03F_impro04_M004,you got to do.,neutral
Ses02M_script02_2_M001,What I was saying.,neutral
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral
Ses02F_script03_1_F014,"Well how long will it last us, this ludicrous overbearing love of ours.",neutral
Ses05F_impro06_M023,That's the best way to put it.,neutral
Ses05M_script01_2_F004,He's got that about it.,neutral
Ses02M_script03_2_F024,"Yes, I did quite a lot.",neutral
Ses05F_impro04_M043,You know I'll always help you.,neutral
Ses03F_impro06_M003,yeah.,neutral
Ses02M_impro05_F024,The airline can't afford to give you everything that is in that suitcase. and so-,neutral
Ses03F_script03_2_M012,"No particular reason. Anyhow, they were very small ones.",neutral
Ses01F_impro06_M014,Mmhmm.,neutral
Ses03M_impro08b_M021,Yes.  You just tell them Brent Backersen sent you.,neutral
Ses01F_script02_1_M032,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neutral
Ses05F_impro04_M026,But you have to keep trying.  You can't give up.,neutral
Ses05M_impro07_F028,All dudes?,neutral
Ses01M_script03_2_F006,"Well, what of it?",neutral
Ses01F_script02_1_M023,Why not?,neutral
Ses01F_script01_3_F031,Mmhmm.,neutral
Ses02F_script02_2_M005,"Carla, can I ask you something?  Don't take this wrong, but are you having your period?",neutral
Ses01F_script01_3_F029,How many?,neutral
Ses01F_script01_3_F028,"Yeah, sure.",neutral
Ses04M_script03_1_M012,"You mustn't be serious, my dear.  That's just what they want.",neutral
Ses05F_script03_2_F003,You worked the whole thing up in your jealous imagination.,neutral
Ses03M_impro08a_M020,I'm sorry it has to do with an electrical power outage and stuff--,neutral
Ses04M_script02_2_M021,"It was in the car, right?  Driving past the Knickerbocker Liquor Locker?  You said let's get some champagne and I said times a wasting or something like that.  Right?  That's it, right?  You want this to be like the other time.  That's it.  Of course.",neutral
Ses03F_script01_1_F010,"What do you mean, dishonest?",neutral
Ses02F_impro06_M002,I'm sorry to hear about that.,neutral
Ses02F_impro05_M016,"Right, that--that gets taken care of-- That gets taken care of.  We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",neutral
Ses03M_script02_2_M020,It was in the car right?  Driving past the Knickerbocker Liquor Locker...,neutral
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neutral
Ses05F_script02_2_M003,"I am not the only one, look at all these people.",neutral
Ses05M_impro04_F036,"Okay.  Well, that's good.  Yeah, I mean, you're you're- when you're happy you're a pretty personable guy.  And I don't --I don't",neutral
Ses02M_impro05_M000,Hi. Um-,neutral
Ses02F_script01_2_M007,You can't read her mind.,neutral
Ses05M_impro08_M006,"Okay. Um-  Well, I don't know.  And it consistently happens every two weeks?",neutral
Ses01F_script02_1_M011,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neutral
Ses01F_script02_2_F000,That's the wind.,neutral
Ses01F_impro06_F019,Yeah.,neutral
Ses05F_impro04_M015,"If it's rent or something like that, I mean I can help you out a little bit, if- if that will help you you know stick with it.",neutral
Ses04F_script02_2_M044,I don't know.  It seemed like a good spot to me.,neutral
Ses01F_impro03_M000,So what's up?  What's new?,neutral
Ses02M_impro02_M014,"and it'll work out you know, go there and do that. Yeah, I'll be back",neutral
Ses04F_script02_2_F025,No.,neutral
Ses02M_impro08_M026,Okay. All right. Then we'll get it sent out there. And,neutral
Ses01M_impro06_F020,It gets better.,neutral
Ses04M_impro05_F009,"That's our policy, sir.",neutral
Ses02F_impro05_M005,"Um, we'd be willing to give you uh fifty dollars for--",neutral
Ses02F_script02_1_F005,Yeah.,neutral
Ses02F_impro05_M019,"Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",neutral
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral
